Ticker,Entry Date,Exit Date,Entry Price,Exit Price,Score,Signal,Confidence,Return %,Holding Days
AAPL,2018-01-01,2018-03-02,39.63228225708008,41.43520736694336,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,4.549132694827835,60
MSFT,2018-01-01,2018-03-02,78.82054138183594,86.14337921142578,-0.043116605616605505,NEUTRAL / HOLD,1.0,9.290519579300149,60
NVDA,2018-01-01,2018-03-02,4.7841691970825195,5.8519415855407715,4.17758101851852,STRONG BUY,1.5730000000000004,22.318867591668802,60
JPM,2018-01-01,2018-03-02,85.91889953613281,91.51907348632812,4.670035096310808,STRONG BUY,1.5730000000000004,6.517976813518408,60
XOM,2018-01-01,2018-03-02,58.51422882080078,53.39498519897461,4.320485110470702,STRONG BUY,1.4300000000000002,-8.748715867902494,60
PFE,2018-01-01,2018-03-02,24.08332061767578,24.1252384185791,4.216703223662347,STRONG BUY,1.5730000000000004,0.17405324443737646,60
WMT,2018-01-01,2018-03-02,29.020381927490234,26.087488174438477,3.504141104294479,STRONG BUY,1.4300000000000002,-10.106323756799029,60
AAPL,2018-01-31,2018-04-02,39.1030158996582,39.194252014160156,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,0.23332244943989247,61
MSFT,2018-01-31,2018-04-02,85.4549560546875,81.94960021972656,-0.043116605616605505,NEUTRAL / HOLD,1.0,-4.101992437650615,61
NVDA,2018-01-31,2018-04-02,6.001104831695557,5.468721866607666,4.17758101851852,STRONG BUY,1.5730000000000004,-8.871415847895973,61
JPM,2018-01-31,2018-04-02,92.96469116210938,87.10140228271484,4.670035096310808,STRONG BUY,1.5730000000000004,-6.307006247318439,61
XOM,2018-01-31,2018-04-02,60.71096420288086,51.74825668334961,4.320485110470702,STRONG BUY,1.4300000000000002,-14.762914141142813,61
PFE,2018-01-31,2018-04-02,25.13388442993164,23.521268844604492,4.216703223662347,STRONG BUY,1.5730000000000004,-6.4161016965873525,61
WMT,2018-01-31,2018-04-02,31.65940284729004,25.291091918945312,3.504141104294479,STRONG BUY,1.4300000000000002,-20.115069633696002,61
AAPL,2018-03-02,2018-05-01,41.15066909790039,39.7633056640625,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,-3.3714237562875433,60
MSFT,2018-03-02,2018-05-01,85.95818328857422,87.94863891601562,-0.043116605616605505,NEUTRAL / HOLD,1.0,2.3156092314784678,60
NVDA,2018-03-02,2018-05-01,5.744818687438965,5.619388103485107,4.17758101851852,STRONG BUY,1.5730000000000004,-2.18336888904973,60
JPM,2018-03-02,2018-05-01,91.60789489746094,88.29798126220703,4.670035096310808,STRONG BUY,1.5730000000000004,-3.6131314216517882,60
XOM,2018-03-02,2018-05-01,53.14761734008789,54.38441848754883,4.320485110470702,STRONG BUY,1.4300000000000002,2.327105539928034,60
PFE,2018-03-02,2018-05-01,23.910497665405273,23.756155014038086,4.216703223662347,STRONG BUY,1.5730000000000004,-0.6455016266369772,60
WMT,2018-03-02,2018-05-01,26.17858123779297,25.840957641601562,3.504141104294479,STRONG BUY,1.4300000000000002,-1.2896940178866247,60
AAPL,2018-04-01,2018-05-31,39.45291519165039,44.11130142211914,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,11.807457593031367,60
MSFT,2018-04-01,2018-05-31,84.49549865722656,91.90021514892578,-0.043116605616605505,NEUTRAL / HOLD,1.0,8.763444928277162,60
NVDA,2018-04-01,2018-05-31,5.729480743408203,6.242978096008301,4.17758101851852,STRONG BUY,1.5730000000000004,8.962371558554917,60
JPM,2018-04-01,2018-05-31,88.81354522705078,86.86125183105469,4.670035096310808,STRONG BUY,1.5730000000000004,-2.198193294733454,60
XOM,2018-04-01,2018-05-31,52.73061752319336,57.998355865478516,4.320485110470702,STRONG BUY,1.4300000000000002,9.98990451793621,60
PFE,2018-04-01,2018-05-31,23.81654930114746,24.34719467163086,4.216703223662347,STRONG BUY,1.5730000000000004,2.228053122951075,60
WMT,2018-04-01,2018-05-31,26.302143096923828,24.554975509643555,3.504141104294479,STRONG BUY,1.4300000000000002,-6.642681475961607,60
AAPL,2018-05-01,2018-06-29,38.860347747802734,43.69585037231445,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,12.443281917839066,59
MSFT,2018-05-01,2018-06-29,86.57847595214844,91.68635559082031,-0.043116605616605505,NEUTRAL / HOLD,1.0,5.8997107335257075,59
NVDA,2018-05-01,2018-06-29,5.563971042633057,5.86447286605835,4.17758101851852,STRONG BUY,1.5730000000000004,5.4008516781044476,59
JPM,2018-05-01,2018-06-29,88.29798126220703,84.58036041259766,4.670035096310808,STRONG BUY,1.5730000000000004,-4.2103123949908206,59
XOM,2018-05-01,2018-06-29,54.9498291015625,59.06208801269531,4.320485110470702,STRONG BUY,1.4300000000000002,7.483660965591393,59
PFE,2018-05-01,2018-06-29,24.56815528869629,24.584365844726562,4.216703223662347,STRONG BUY,1.5730000000000004,0.0659819829359832,59
WMT,2018-05-01,2018-06-29,26.151363372802734,25.480175018310547,3.504141104294479,STRONG BUY,1.4300000000000002,-2.566552056671047,59
AAPL,2018-05-31,2018-07-30,44.26001739501953,44.82890701293945,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,1.2853352786615435,60
MSFT,2018-05-31,2018-07-30,92.00251007080078,97.97172546386719,-0.043116605616605505,NEUTRAL / HOLD,1.0,6.488100583856658,60
NVDA,2018-05-31,2018-07-30,6.262781143188477,6.043452739715576,4.17758101851852,STRONG BUY,1.5730000000000004,-3.5020927357719702,60
JPM,2018-05-31,2018-07-30,87.94894409179688,95.26599884033203,4.670035096310808,STRONG BUY,1.5730000000000004,8.319661849377027,60
XOM,2018-05-31,2018-07-30,58.18397521972656,58.35531997680664,4.320485110470702,STRONG BUY,1.4300000000000002,0.29448788336137227,60
PFE,2018-05-31,2018-07-30,24.428508758544922,26.149682998657227,4.216703223662347,STRONG BUY,1.5730000000000004,7.04576057885748,60
WMT,2018-05-31,2018-07-30,25.025009155273438,26.441064834594727,3.504141104294479,STRONG BUY,1.4300000000000002,5.658562082974856,60
AAPL,2018-06-30,2018-08-29,43.69585037231445,52.819786071777344,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,20.88055415267484,60
MSFT,2018-06-30,2018-08-29,91.68635559082031,104.55561065673828,-0.043116605616605505,NEUTRAL / HOLD,1.0,14.036172539511915,60
NVDA,2018-06-30,2018-08-29,5.86447286605835,6.8978071212768555,4.17758101851852,STRONG BUY,1.5730000000000004,17.620241048417267,60
JPM,2018-06-30,2018-08-29,84.58036041259766,94.47434997558594,4.670035096310808,STRONG BUY,1.5730000000000004,11.69773871230116,60
XOM,2018-06-30,2018-08-29,59.06208801269531,58.322486877441406,4.320485110470702,STRONG BUY,1.4300000000000002,-1.252243461313,60
PFE,2018-06-30,2018-08-29,24.584365844726562,28.36102867126465,4.216703223662347,STRONG BUY,1.5730000000000004,15.36205103028189,60
WMT,2018-06-30,2018-08-29,25.480175018310547,28.61736297607422,3.504141104294479,STRONG BUY,1.4300000000000002,12.312270051164202,60
AAPL,2018-07-30,2018-09-28,45.081485748291016,53.47358703613281,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,18.61540530118826,60
MSFT,2018-07-30,2018-09-28,100.1195297241211,106.74905395507812,-0.043116605616605505,NEUTRAL / HOLD,1.0,6.6216094394616665,60
NVDA,2018-07-30,2018-09-28,6.238769054412842,6.9604716300964355,4.17758101851852,STRONG BUY,1.5730000000000004,11.568028394529446,60
JPM,2018-07-30,2018-09-28,94.6947021484375,92.09127044677734,4.670035096310808,STRONG BUY,1.5730000000000004,-2.749289709554373,60
XOM,2018-07-30,2018-09-28,58.48383712768555,61.32301330566406,4.320485110470702,STRONG BUY,1.4300000000000002,4.854633891035313,60
PFE,2018-07-30,2018-09-28,26.027711868286133,30.117372512817383,4.216703223662347,STRONG BUY,1.5730000000000004,15.712716758303907,60
WMT,2018-07-30,2018-09-28,26.217952728271484,28.099712371826172,3.504141104294479,STRONG BUY,1.4300000000000002,7.1773706477300125,60
AAPL,2018-08-29,2018-10-29,52.04281997680664,50.27568817138672,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,-3.3955343046504023,61
MSFT,2018-08-29,2018-10-29,102.91289520263672,96.9300308227539,-0.043116605616605505,NEUTRAL / HOLD,1.0,-5.813522560124736,61
NVDA,2018-08-29,2018-10-29,6.792292594909668,4.597548007965088,4.17758101851852,STRONG BUY,1.5730000000000004,-32.31227978296139,61
JPM,2018-08-29,2018-10-29,94.78447723388672,86.16968536376953,4.670035096310808,STRONG BUY,1.5730000000000004,-9.088821420473355,61
XOM,2018-08-29,2018-10-29,57.90414810180664,55.57442855834961,4.320485110470702,STRONG BUY,1.4300000000000002,-4.023406992122457,61
PFE,2018-08-29,2018-10-29,28.36102867126465,29.543312072753906,4.216703223662347,STRONG BUY,1.5730000000000004,4.168690124724375,61
WMT,2018-08-29,2018-10-29,28.74603271484375,29.86212158203125,3.504141104294479,STRONG BUY,1.4300000000000002,3.882584001273953,61
AAPL,2018-09-28,2018-11-27,53.28644943237305,41.418209075927734,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,-22.272529851153898,60
MSFT,2018-09-28,2018-11-27,106.78638458251953,100.43280029296875,-0.043116605616605505,NEUTRAL / HOLD,1.0,-5.949807472544431,60
NVDA,2018-09-28,2018-11-27,6.6231231689453125,3.8076767921447754,4.17758101851852,STRONG BUY,1.5730000000000004,-42.509346496856374,60
JPM,2018-09-28,2018-11-27,93.46234893798828,90.17205047607422,4.670035096310808,STRONG BUY,1.5730000000000004,-3.520453422476206,60
XOM,2018-09-28,2018-11-27,61.86395263671875,56.13779830932617,4.320485110470702,STRONG BUY,1.4300000000000002,-9.25604343618011,60
PFE,2018-09-28,2018-11-27,30.001188278198242,30.349782943725586,4.216703223662347,STRONG BUY,1.5730000000000004,1.1619361949762046,60
WMT,2018-09-28,2018-11-27,28.165542602539062,28.437835693359375,3.504141104294479,STRONG BUY,1.4300000000000002,0.9667596135561963,60
AAPL,2018-10-28,2018-12-27,51.237422943115234,37.11806869506836,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,-27.556722092995294,60
MSFT,2018-10-28,2018-12-27,99.8327865600586,94.8459243774414,-0.043116605616605505,NEUTRAL / HOLD,1.0,-4.995214853205697,60
NVDA,2018-10-28,2018-12-27,4.911365032196045,3.252147674560547,4.17758101851852,STRONG BUY,1.5730000000000004,-33.783222113580166,60
JPM,2018-10-28,2018-12-27,84.99445343017578,79.75112915039062,4.670035096310808,STRONG BUY,1.5730000000000004,-6.169019351471712,60
XOM,2018-10-28,2018-12-27,55.92063903808594,50.22894287109375,4.320485110470702,STRONG BUY,1.4300000000000002,-10.178167247187101,60
PFE,2018-10-28,2018-12-27,29.112775802612305,29.509593963623047,4.216703223662347,STRONG BUY,1.5730000000000004,1.3630378762273005,60
WMT,2018-10-28,2018-12-27,29.604787826538086,27.55508041381836,3.504141104294479,STRONG BUY,1.4300000000000002,-6.923567311914137,60
AAPL,2018-11-27,2019-01-25,41.508541107177734,37.50078582763672,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,-9.65525449134127,59
MSFT,2018-11-27,2019-01-25,99.80477905273438,100.46095275878906,-0.043116605616605505,NEUTRAL / HOLD,1.0,0.6574572002288402,59
NVDA,2018-11-27,2019-01-25,3.7908339500427246,3.9706592559814453,4.17758101851852,STRONG BUY,1.5730000000000004,4.743687228418274,59
JPM,2018-11-27,2019-01-25,89.7939682006836,85.65985870361328,4.670035096310808,STRONG BUY,1.5730000000000004,-4.603994655666459,59
XOM,2018-11-27,2019-01-25,56.086795806884766,52.254425048828125,4.320485110470702,STRONG BUY,1.4300000000000002,-6.832928682986396,59
PFE,2018-11-27,2019-01-25,29.84705352783203,27.98763656616211,4.216703223662347,STRONG BUY,1.5730000000000004,-6.229817492490631,59
WMT,2018-11-27,2019-01-25,28.470748901367188,29.16463851928711,3.504141104294479,STRONG BUY,1.4300000000000002,2.437201846441773,59
AAPL,2018-12-27,2019-02-25,37.36053466796875,41.59345245361328,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,11.329917580846736,60
MSFT,2018-12-27,2019-02-25,94.26475524902344,105.05096435546875,-0.043116605616605505,NEUTRAL / HOLD,1.0,11.442462326402799,60
NVDA,2018-12-27,2019-02-25,3.2999987602233887,3.9344611167907715,4.17758101851852,STRONG BUY,1.5730000000000004,19.226139240259403,60
JPM,2018-12-27,2019-02-25,78.86355590820312,87.90511322021484,4.670035096310808,STRONG BUY,1.5730000000000004,11.464810593293633,60
XOM,2018-12-27,2019-02-25,50.01035690307617,57.82921600341797,4.320485110470702,STRONG BUY,1.4300000000000002,15.634479704864601,60
PFE,2018-12-27,2019-02-25,29.055076599121094,29.927104949951172,4.216703223662347,STRONG BUY,1.5730000000000004,3.0012942759079033,60
WMT,2018-12-27,2019-02-25,27.200069427490234,29.82050323486328,3.504141104294479,STRONG BUY,1.4300000000000002,9.633923230815943,60
AAPL,2019-01-26,2019-03-27,37.50078582763672,44.99292755126953,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,19.978625936183384,60
MSFT,2019-01-26,2019-03-27,100.46095275878906,109.92742919921875,-0.043116605616605505,NEUTRAL / HOLD,1.0,9.423040674478862,60
NVDA,2019-01-26,2019-03-27,3.9706592559814453,4.3805413246154785,4.17758101851852,STRONG BUY,1.5730000000000004,10.322771162410431,60
JPM,2019-01-26,2019-03-27,85.65985870361328,82.50321960449219,4.670035096310808,STRONG BUY,1.5730000000000004,-3.6850855778821656,60
XOM,2019-01-26,2019-03-27,52.254425048828125,59.1847038269043,4.320485110470702,STRONG BUY,1.4300000000000002,13.26256823532229,60
PFE,2019-01-26,2019-03-27,27.98763656616211,29.190736770629883,4.216703223662347,STRONG BUY,1.5730000000000004,4.29868453387864,60
WMT,2019-01-26,2019-03-27,29.16463851928711,29.403230667114258,3.504141104294479,STRONG BUY,1.4300000000000002,0.8180871080207733,60
AAPL,2019-02-25,2019-04-26,41.29267120361328,48.7719841003418,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,18.112930645363637,60
MSFT,2019-02-25,2019-04-26,104.46731567382812,122.27861022949219,-0.043116605616605505,NEUTRAL / HOLD,1.0,17.049633601455955,60
NVDA,2019-02-25,2019-04-26,3.9468581676483154,4.4200029373168945,4.17758101851852,STRONG BUY,1.5730000000000004,11.987883769091615,60
JPM,2019-02-25,2019-04-26,86.99374389648438,95.56546020507812,4.670035096310808,STRONG BUY,1.5730000000000004,9.853256021252987,60
XOM,2019-02-25,2019-04-26,57.770286560058594,59.29520034790039,4.320485110470702,STRONG BUY,1.4300000000000002,2.639616104823161,60
PFE,2019-02-25,2019-04-26,29.84373664855957,27.766624450683594,4.216703223662347,STRONG BUY,1.5730000000000004,-6.959960216564336,60
WMT,2019-02-25,2019-04-26,29.94986343383789,30.709915161132812,3.504141104294479,STRONG BUY,1.4300000000000002,2.53774688814174,60
AAPL,2019-03-27,2019-05-24,44.59187698364258,42.889564514160156,2.1884157509157514,NEUTRAL / HOLD,1.2100000000000002,-3.817539391999294,58
MSFT,2019-03-27,2019-05-24,111.00064086914062,119.28240966796875,-0.043116605616605505,NEUTRAL / HOLD,1.0,7.461009895061377,58
NVDA,2019-03-27,2019-05-24,4.389723777770996,3.6024680137634277,4.17758101851852,STRONG BUY,1.5730000000000004,-17.934061546062,58
JPM,2019-03-27,2019-05-24,82.784912109375,91.591552734375,4.670035096310808,STRONG BUY,1.5730000000000004,10.637977864087977,58
XOM,2019-03-27,2019-05-24,59.641448974609375,55.21355056762695,4.320485110470702,STRONG BUY,1.4300000000000002,-7.424196566497692,58
PFE,2019-03-27,2019-05-24,29.468610763549805,29.400575637817383,4.216703223662347,STRONG BUY,1.5730000000000004,-0.2308732036210394,58
WMT,2019-03-27,2019-05-24,29.738975524902344,31.219697952270508,3.504141104294479,STRONG BUY,1.4300000000000002,4.979063337700589,58
