ticker,company,sector,market_cap,signal,score,confidence,position_size,probability_higher,probability_lower,probability_sideways
WRB,W. R. Berkley Corporation,Financial Services,29246429184,STRONG BUY,6.591616746538872,1.5730000000000004,5.0,70-80%,10-15%,10-15%
NEM,Newmont Corporation,Basic Materials,97908113408,STRONG BUY,6.246817958783123,1.5730000000000004,5.0,70-80%,10-15%,10-15%
GILD,"Gilead Sciences, Inc.",Healthcare,155333099520,STRONG BUY,5.7042412551440345,1.5730000000000004,5.0,70-80%,10-15%,10-15%
RTX,RTX Corporation,Industrials,233240707072,STRONG BUY,5.164342235410486,1.5730000000000004,5.0,70-80%,10-15%,10-15%
GOOGL,Alphabet Inc.,Communication Services,3365286969344,STRONG BUY,5.420859605911331,1.5730000000000004,4.4,70-80%,10-15%,10-15%
GOOG,Alphabet Inc.,Communication Services,3363484467200,STRONG BUY,5.420859605911331,1.5730000000000004,4.4,70-80%,10-15%,10-15%
BKR,Baker Hughes Company,Energy,46881624064,STRONG BUY,5.237728530031614,1.5730000000000004,4.4,70-80%,10-15%,10-15%
CSCO,"Cisco Systems, Inc.",Technology,304933273600,STRONG BUY,6.384686911487761,1.5730000000000004,4.4,70-80%,10-15%,10-15%
HCA,"HCA Healthcare, Inc.",Healthcare,107999608832,STRONG BUY,5.551435185185187,1.5730000000000004,4.4,70-80%,10-15%,10-15%
UHS,"Universal Health Services, Inc.",Healthcare,14219140096,STRONG BUY,6.509351851851854,1.5730000000000004,4.4,70-80%,10-15%,10-15%
STT,State Street Corporation,Financial Services,33037076480,STRONG BUY,5.370824680511184,1.5730000000000004,4.4,70-80%,10-15%,10-15%
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,17916684288,STRONG BUY,5.352843719090011,1.5730000000000004,4.4,70-80%,10-15%,10-15%
CFG,"Citizens Financial Group, Inc.",Financial Services,22208729088,STRONG BUY,5.981220713525028,1.5730000000000004,4.4,70-80%,10-15%,10-15%
CTRA,Coterra Energy Inc.,Energy,19673995264,STRONG BUY,4.549533061116967,1.5730000000000004,3.575,70-80%,10-15%,10-15%
BSX,Boston Scientific Corporation,Healthcare,155626766336,STRONG BUY,4.125565843621399,1.4300000000000002,3.575,70-80%,10-15%,10-15%
JNJ,Johnson & Johnson,Healthcare,470414884864,STRONG BUY,4.036445473251029,1.4300000000000002,3.575,70-80%,10-15%,10-15%
MRK,"Merck & Co., Inc.",Healthcare,230654361600,STRONG BUY,4.891039094650207,1.5730000000000004,3.575,70-80%,10-15%,10-15%
TRV,"The Travelers Companies, Inc.",Financial Services,64112893952,STRONG BUY,4.955007987220448,1.5730000000000004,3.575,70-80%,10-15%,10-15%
IBM,International Business Machines Corporation,Technology,284963373056,STRONG BUY,4.443431614877591,1.5730000000000004,3.575,70-80%,10-15%,10-15%
MU,"Micron Technology, Inc.",Technology,265968320512,STRONG BUY,5.2132827212806045,1.5730000000000004,3.08,70-80%,10-15%,10-15%
RL,Ralph Lauren Corporation,Consumer Cyclical,20179390464,STRONG BUY,5.370025071633239,1.5730000000000004,3.08,70-80%,10-15%,10-15%
BK,The Bank of New York Mellon Corporation,Financial Services,77433643008,STRONG BUY,4.382574547390842,1.4300000000000002,2.75,70-80%,10-15%,10-15%
AMZN,"Amazon.com, Inc.",Consumer Cyclical,2539781619712,STRONG BUY,4.5969454393505265,1.5730000000000004,2.75,70-80%,10-15%,10-15%
DLTR,"Dollar Tree, Inc.",Consumer Defensive,21039282176,STRONG BUY,4.483263888888891,1.5730000000000004,2.75,70-80%,10-15%,10-15%
DAL,"Delta Air Lines, Inc.",Industrials,39118999552,STRONG BUY,4.3904797230464885,1.4300000000000002,2.75,70-80%,10-15%,10-15%
GLW,Corning Incorporated,Technology,70612205568,STRONG BUY,4.4801047551789095,1.5730000000000004,2.75,70-80%,10-15%,10-15%
CBRE,"CBRE Group, Inc.",Real Estate,45582319616,STRONG BUY,4.208283059845561,1.5730000000000004,2.75,70-80%,10-15%,10-15%
APH,Amphenol Corporation,Technology,165553520640,STRONG BUY,4.1760122410546145,1.4300000000000002,2.75,70-80%,10-15%,10-15%
INCY,Incyte Corporation,Healthcare,20694376448,STRONG BUY,4.695216049382716,1.3,2.75,70-80%,10-15%,10-15%
INTC,Intel Corporation,Technology,171290689536,STRONG BUY,4.475476106403015,1.5730000000000004,2.75,70-80%,10-15%,10-15%
DD,"DuPont de Nemours, Inc.",Basic Materials,17010397184,STRONG BUY,4.5352735525024555,1.5730000000000004,2.75,70-80%,10-15%,10-15%
USB,U.S. Bancorp,Financial Services,73540280320,STRONG BUY,4.250272896698615,1.4300000000000002,2.75,70-80%,10-15%,10-15%
TEL,TE Connectivity plc,Technology,69511036928,STRONG BUY,4.867059792843693,1.5730000000000004,2.75,70-80%,10-15%,10-15%
MPC,Marathon Petroleum Corporation,Energy,58491228160,STRONG BUY,4.412677818756587,1.4300000000000002,2.75,70-80%,10-15%,10-15%
JPM,JPMorgan Chase & Co.,Financial Services,842485727232,STRONG BUY,4.133119675186369,1.5730000000000004,2.75,70-80%,10-15%,10-15%
GM,General Motors Company,Consumer Cyclical,67063398400,STRONG BUY,4.354829871060172,1.5730000000000004,2.75,70-80%,10-15%,10-15%
EXPE,"Expedia Group, Inc.",Consumer Cyclical,32759068672,STRONG BUY,4.5630432187201535,1.4300000000000002,2.75,70-80%,10-15%,10-15%
PH,Parker-Hannifin Corporation,Industrials,106241630208,STRONG BUY,4.497106824925817,1.5730000000000004,2.75,70-80%,10-15%,10-15%
QCOM,QUALCOMM Incorporated,Technology,186889502720,STRONG BUY,4.044442090395481,1.5730000000000004,2.75,70-80%,10-15%,10-15%
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,12789901312,STRONG BUY,4.505259073543458,1.4300000000000002,2.75,70-80%,10-15%,10-15%
STLD,"Steel Dynamics, Inc.",Basic Materials,22575529984,STRONG BUY,4.280581452404318,1.4300000000000002,2.75,70-80%,10-15%,10-15%
WAT,Waters Corporation,Healthcare,22581526528,STRONG BUY,4.572355967078191,1.5730000000000004,2.75,70-80%,10-15%,10-15%
LRCX,Lam Research Corporation,Technology,192574521344,STRONG BUY,4.490760357815444,1.4300000000000002,1.9250000000000003,70-80%,10-15%,10-15%
IVZ,Invesco Ltd.,Financial Services,10673327104,STRONG BUY,4.441440362087327,1.4300000000000002,1.9250000000000003,70-80%,10-15%,10-15%
STX,Seagate Technology Holdings plc,Technology,56071819264,STRONG BUY,4.475476106403015,1.5730000000000004,1.9250000000000003,70-80%,10-15%,10-15%
HOOD,"Robinhood Markets, Inc.",Financial Services,109278420992,STRONG BUY,4.107267039403621,1.5730000000000004,1.9250000000000003,70-80%,10-15%,10-15%
ROK,"Rockwell Automation, Inc.",Industrials,42690215936,STRONG BUY,4.641026211671613,1.5730000000000004,1.9250000000000003,70-80%,10-15%,10-15%
