Ticker,RS_Rating,RS_Score,Stage,Stage_2_Confirmed,Price,MA_50,MA_150,MA_200,MA_50_Slope,MA_150_Slope,MA_200_Slope,52w_High,52w_Low,Pct_Above_52w_Low,Pct_From_52w_High,Pct_Above_MA_50,Days_Since_52w_High,Criteria_Met,Failed_Criteria,SEPA_Qualified,Quality_Score,Grade,Earnings_Growth_YoY,Revenue_Growth_YoY,Earnings_Accel_Quarters,Revenue_Accel_Quarters,Positive_Earnings_Growth_Quarters,Positive_Revenue_Growth_Quarters,Earnings_Sign_Flips,ATR_Percent,Net_Margin,Recent_Net_Margin,Prior_Net_Margin,Earnings_YoY_Series,Revenue_YoY_Series,SEPA_Failed_Criteria,Entry_Status,EMA_10,EMA_21,Pct_Above_EMA_10,Pct_Above_EMA_21,Volume_Status,Volume_Ratio,Up_Down_Volume_Ratio,Avg_Volume_50d,Earnings_Flag,Days_Until_Earnings,Next_Earnings_Date,Last_Earnings_Date,Sector
RERE,90.0,73.01101543746479,2,True,6.199999809265137,5.534799995422364,4.55120000521342,4.099300005435944,11.066213356437494,6.642529578802776,6.674580691401213,6.46999979019165,2.0,209.99999046325684,4.173106486584846,12.018497766729352,19,13,,True,87.0,A,407.8398479002405,27.10077758946771,0.0,0.0,1.0,1.0,0.0,4.47465541207884,1.4429999500000001,1.7637262813024663,0.4414206225356298,407.8,27.1,,WATCHLIST,5.868532227946869,5.804074875600717,5.648219494131219,6.821499414640848,NORMAL,0.8300576224310774,0.9659714740390033,1507052.0,REPORTED,,,2025-11-19,Consumer Cyclical
ALNT,91.0,77.4989430486993,2,True,68.87000274658203,58.16360023498535,50.13892918904622,45.28962386131287,5.661916420930193,5.749596633923503,7.401125886656994,70.0,19.206520930621227,258.5761471083585,1.6142817905970983,18.407393057413916,0,13,,True,85.0,A,208.28177058543548,10.805587279276113,0.0,0.0,1.0,1.0,0.0,4.654732839611662,3.501,4.668343628147006,1.6779407888957216,208.3,10.8,,EXTENDED,63.80260451301183,62.04544973479125,7.942306230675525,10.99928043226673,NORMAL,1.3835975818409947,1.2079268292682925,157806.0,N/A,,,,Technology
FIVE,90.0,70.96042119092922,2,True,209.42999267578125,187.12599884033204,160.13306620279948,147.6992495727539,7.168073521287845,4.334029259824744,7.004806971869776,209.97999572753906,52.380001068115234,299.8281565581439,0.2619311662771308,11.919238360074385,0,13,,True,85.0,A,2063.9004149377593,23.06278223560228,0.0,0.0,1.0,1.0,0.0,3.2567998885220835,6.955,3.515866908473812,0.19995021986227496,2063.9,23.1,,WATCHLIST,197.47063805081353,194.5482293812943,6.056269804471038,7.649395392501998,NORMAL,0.848626615699624,1.0233364753989538,1261992.0,REPORTED,,,2025-12-03,Consumer Cyclical
PRIM,87.0,58.35297437540817,2,True,162.61000061035156,136.32158096313478,124.25849522908528,111.31577405929565,6.094864589283005,6.322285021507251,6.804293197465213,164.3800048828125,48.99025224291517,231.92317484723247,1.0767758972405337,19.284121752025396,0,13,,True,82.0,B,61.91559997261962,32.09875045934536,0.0,0.0,1.0,1.0,0.0,4.635983033409506,3.7159999999999997,4.343373322524286,3.543538663235271,61.9,32.1,,WATCHLIST,153.14096816077696,147.99596884153698,6.183213129247959,9.874614750123497,NORMAL,0.822063363576288,1.1676427046753426,995714.0,N/A,,,,Industrials
BLFY,85.0,51.299226041363106,2,True,14.539999961853027,12.729000034332275,10.191666663487752,10.000099980831147,13.685940597796806,4.118026895482703,3.381020927882391,14.630000114440918,7.611999988555908,91.01418791004816,0.6151753375521416,14.227354251207307,0,13,,True,82.0,B,53.77381836179163,33.06945324044754,0.0,0.0,1.0,1.0,0.0,2.936235609091539,-20.576,-14.817165067026256,-42.65357821405953,53.8,33.1,,BUY_ZONE,13.853832130464342,13.387955366252571,4.952909959691324,8.605082434801435,NORMAL,0.8465632077471467,0.9792908374583291,358532.0,DANGER,3.0,2026-02-12,,Financial Services
VRT,80.0,37.56576928142928,2,True,202.0,175.61419952392578,158.8515641784668,146.15194770812988,1.5728811317960505,4.278884020035691,6.2973319253192965,208.42999267578125,53.54656517038216,277.2417509082933,3.0849651689923943,15.024867321437416,0,13,,True,82.0,B,125.65118912797281,29.047504219918014,0.0,0.0,1.0,1.0,0.0,5.808627656022089,10.666,14.892742357425817,8.517000241138172,125.7,29.0,,WATCHLIST,189.20377042605134,184.13354182473634,6.763200091168353,9.702989470690502,NORMAL,1.170871766496442,0.969029152961213,5754362.0,DANGER,2.0,2026-02-11,,Industrials
LQDA,94.0,101.39140180961844,2,True,42.400001525878906,36.66280010223389,27.874466749827068,24.667950081825257,13.280088749454997,11.526454348807444,9.549853637274754,46.66999816894531,11.260000228881836,276.55417996460733,9.149339641302376,15.64856314205921,4,13,,True,80.0,B,88.61424427972929,1121.7176258992806,0.0,0.0,1.0,1.0,0.0,5.961926906341551,-179.282,-6.501416951897243,-697.6169064748201,88.6,1121.7,,BUY_ZONE,42.65320652339946,40.922965921846334,-0.5936364886931713,3.6093073186664384,NORMAL,0.9345455066620167,1.0530702577948252,1674568.0,CAUTION,17.0,2026-02-26,,Healthcare
TPC,93.0,92.9905343286782,2,True,84.06999969482422,72.33612319946289,63.653226674397786,56.85663917541504,6.803369688561456,5.679533427478201,8.1546071677863,86.70999908447266,18.323959196987502,358.7982258148965,3.0446308586355273,16.221323422331896,0,13,,True,80.0,B,103.59996827348259,30.7110349311425,0.0,0.0,1.0,1.0,1.0,4.133460356376436,-0.545,0.256542505087045,-9.314786630415508,103.6,30.7,,BUY_ZONE,80.52121347165588,77.85951301461763,4.407268681336424,7.976529058229026,WEAK,1.3947388059701493,0.710713423862407,536000.0,N/A,,,,Industrials
DY,88.0,62.26274323025744,2,True,415.2799987792969,358.4497967529297,303.4579987589518,281.46824913024903,6.852954595654144,4.696842167876864,6.366737682744404,422.739990234375,131.3699951171875,216.11480110724665,1.7646760721506771,15.854438345668479,0,13,,True,80.0,B,52.409405493702444,14.134434794777073,0.0,0.0,1.0,1.0,0.0,4.702850283393784,5.752,7.326432465122558,5.486526410625099,52.4,14.1,,EXTENDED,384.65031438321785,374.0463823983184,7.962994764528754,11.023663994982623,NORMAL,1.1680741976191107,1.203666495948732,453276.0,REPORTED,,,2025-11-19,Industrials
KRYS,87.0,59.79819350982399,2,True,272.6099853515625,255.3981997680664,197.13396708170572,182.74352542877196,9.96534902351265,7.818242093453614,4.757910551317698,295.9800109863281,122.80000305175781,121.99509656092002,7.895812138423473,6.739196125550828,17,13,,True,80.0,B,191.99779249448125,16.649372025619925,0.0,0.0,1.0,1.0,0.0,4.10392417179363,53.303999999999995,81.15030674846626,32.41850645865388,192.0,16.6,,BUY_ZONE,274.4811445028325,272.09957530494177,-0.6817077197266893,0.18758208132031007,NORMAL,0.9754753192591461,1.0379382976087226,301166.0,N/A,,,,Healthcare
